quote_id,product,kw,unit_price,qty,subtotal_price,gross_margin_rate,convert_to_order,energy_grant_amount,competitor_a,competitor_b,competitor_c,price_order,is_highest_price,is_compe_a,is_compe_b,is_compe_c,known_num_compe,avg_compe_price,max_compe_price,min_compe_price,competitor_count_available,avg_competitor_price,min_competitor_price,max_competitor_price,price_gap_avg_competitor,price_gap_avg_competitor_pct,price_gap_min_competitor,price_gap_min_competitor_pct,higher_than_avg_competitor,is_lower_than_competitor,effective_price_after_grant,grant_ratio_to_subtotal,estimated_cost,estimated_gross_profit
Q-00114,W,11.0,136000.0,1,136000.0,0.0712,0,66000,,,,1,1,False,False,False,0,,,,0,,,,,,,,,False,70000.0,0.4852941176470588,126316.79999999999,9683.200000000012
Q-00119,H1,37.0,290000.0,2,580000.0,0.3079,0,222000,360000.0,,,1,1,True,False,False,1,360000.0,360000.0,360000.0,1,360000.0,360000.0,360000.0,-70000.0,-19.444444444444446,-70000.0,-19.444444444444446,0.0,True,358000.0,0.38275862068965516,401417.99999999994,178582.00000000006
Q-00161,Y,150.0,2379000.0,1,2379000.0,0.4224,1,720000,,,,1,1,False,False,False,0,,,,0,,,,,,,,,False,1659000.0,0.3026481715006305,1374110.4,1004889.6000000001
Q-00167,O1,75.0,775970.0,1,775970.0,0.4117,0,375000,760000.0,900000.0,,1,1,True,True,False,2,830000.0,900000.0,760000.0,2,830000.0,760000.0,900000.0,-54030.0,-6.509638554216868,15970.0,2.1013157894736842,0.0,True,400970.0,0.48326610564841427,456503.151,319466.849
Q-00214,I1,22.0,300000.0,1,300000.0,0.6787000000000001,0,132000,240000.0,,,1,1,True,False,False,1,240000.0,240000.0,240000.0,1,240000.0,240000.0,240000.0,60000.0,25.0,60000.0,25.0,1.0,False,168000.0,0.44,96389.99999999997,203610.00000000003
Q-00473,H1,37.0,400000.0,1,400000.0,0.5475,0,222000,360000.0,,,1,1,True,False,False,1,360000.0,360000.0,360000.0,1,360000.0,360000.0,360000.0,40000.0,11.11111111111111,40000.0,11.11111111111111,1.0,False,178000.0,0.555,181000.0,219000.0
Q-00517,I1,22.0,228964.0,1,228964.0,0.2949,0,132000,240000.0,,,1,1,True,False,False,1,240000.0,240000.0,240000.0,1,240000.0,240000.0,240000.0,-11036.0,-4.598333333333334,-11036.0,-4.598333333333334,0.0,True,96964.0,0.576509844342342,161442.51640000002,67521.48359999998
Q-00521,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,1,375000,760000.0,900000.0,,1,1,True,True,False,2,830000.0,900000.0,760000.0,2,830000.0,760000.0,900000.0,453500.0,54.638554216867476,523500.0,68.88157894736841,1.0,False,908500.0,0.292169848071679,447299.7499999999,836200.2500000001
Q-00525,H1,37.0,290000.0,2,580000.0,0.3983,0,222000,360000.0,,,1,1,True,False,False,1,360000.0,360000.0,360000.0,1,360000.0,360000.0,360000.0,-70000.0,-19.444444444444446,-70000.0,-19.444444444444446,0.0,True,358000.0,0.38275862068965516,348986.0,231014.0
Q-00525,I1,22.0,270000.0,1,270000.0,0.3983,0,132000,240000.0,,,1,1,True,False,False,1,240000.0,240000.0,240000.0,1,240000.0,240000.0,240000.0,30000.0,12.5,30000.0,12.5,1.0,False,138000.0,0.4888888888888889,162459.0,107541.0
